
Devices
1000
,,Imported Bertec Force Plate #1 - Force,,,Imported Bertec Force Plate #1 - Moment,,,Imported Bertec Force Plate #1 - CoP,,,
Frame,Sub Frame,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz
,,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm
1,0,0,0,0,0,0,0,202,300,0
1,1,0,0,0,0,0,0,202,300,0
1,2,0,0,0,0,0,0,202,300,0
1,3,0,0,0,0,0,0,202,300,0
2,0,0,0,0,0,0,0,202,300,0
2,1,0,0,0,0,0,0,202,300,0
2,2,0,0,0,0,0,0,202,300,0
2,3,0,0,0,0,0,0,202,300,0
3,0,0,0,0,0,0,0,202,300,0
3,1,0,0,0,0,0,0,202,300,0
3,2,0,0,0,0,0,0,202,300,0
3,3,0,0,0,0,0,0,202,300,0
4,0,0,0,0,0,0,0,202,300,0
4,1,0,0,0,0,0,0,202,300,0
4,2,0,0,0,0,0,0,202,300,0
4,3,0,0,0,0,0,0,202,300,0
5,0,0,0,0,0,0,0,202,300,0
5,1,0,0,0,0,0,0,202,300,0
5,2,0,0,0,0,0,0,202,300,0
5,3,0,0,0,0,0,0,202,300,0
6,0,0,0,0,0,0,0,202,300,0
6,1,0,0,0,0,0,0,202,300,0
6,2,0,0,0,0,0,0,202,300,0
6,3,0,0,0,0,0,0,202,300,0
7,0,0,0,0,0,0,0,202,300,0
7,1,0,0,0,0,0,0,202,300,0
7,2,0,0,0,0,0,0,202,300,0
7,3,0,0,0,0,0,0,202,300,0
8,0,0,0,0,0,0,0,202,300,0
8,1,0,0,0,0,0,0,202,300,0
8,2,0,0,0,0,0,0,202,300,0
8,3,0,0,0,0,0,0,202,300,0
9,0,0,0,0,0,0,0,202,300,0
9,1,0,0,0,0,0,0,202,300,0
9,2,0,0,0,0,0,0,202,300,0
9,3,0,0,0,0,0,0,202,300,0
10,0,0,0,0,0,0,0,202,300,0
10,1,0,0,0,0,0,0,202,300,0
10,2,0,0,0,0,0,0,202,300,0
10,3,0,0,0,0,0,0,202,300,0
11,0,0,0,0,0,0,0,202,300,0
11,1,0,0,0,0,0,0,202,300,0
11,2,0,0,0,0,0,0,202,300,0
11,3,0,0,0,0,0,0,202,300,0
12,0,0,0,0,0,0,0,202,300,0
12,1,0,0,0,0,0,0,202,300,0
12,2,0,0,0,0,0,0,202,300,0
12,3,0,0,0,0,0,0,202,300,0
13,0,0,0,0,0,0,0,202,300,0
13,1,0,0,0,0,0,0,202,300,0
13,2,0,0,0,0,0,0,202,300,0
13,3,0,0,0,0,0,0,202,300,0
14,0,0,0,0,0,0,0,202,300,0
14,1,0,0,0,0,0,0,202,300,0
14,2,0,0,0,0,0,0,202,300,0
14,3,0,0,0,0,0,0,202,300,0
15,0,0,0,0,0,0,0,202,300,0
15,1,0,0,0,0,0,0,202,300,0
15,2,0,0,0,0,0,0,202,300,0
15,3,0,0,0,0,0,0,202,300,0
16,0,0,0,0,0,0,0,202,300,0
16,1,0,0,0,0,0,0,202,300,0
16,2,0,0,0,0,0,0,202,300,0
16,3,0,0,0,0,0,0,202,300,0
17,0,0,0,0,0,0,0,202,300,0
17,1,0,0,0,0,0,0,202,300,0
17,2,0,0,0,0,0,0,202,300,0
17,3,0,0,0,0,0,0,202,300,0
18,0,0,0,0,0,0,0,202,300,0
18,1,0,0,0,0,0,0,202,300,0
18,2,0,0,0,0,0,0,202,300,0
18,3,0,0,0,0,0,0,202,300,0
19,0,0,0,0,0,0,0,202,300,0
19,1,0,0,0,0,0,0,202,300,0
19,2,0,0,0,0,0,0,202,300,0
19,3,0,0,0,0,0,0,202,300,0
20,0,0,0,0,0,0,0,202,300,0
20,1,0,0,0,0,0,0,202,300,0
20,2,0,0,0,0,0,0,202,300,0
